date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:43:20	99337/99337	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:20%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/watchdocumentaries	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/watchdocumentaries.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:20	104814/104814	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:20%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/watchdocumentaries/ab-cloaked	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/watchdocumentaries/ab-cloaked.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:20	101872/101872	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:20%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/emulators/webretro/download	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/emulators/webretro/download.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:21	99684/99684	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:21%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/emulators/webretro/webretro-emulator	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/emulators/webretro/webretro-emulator.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:21	99169/99169	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:21%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/emulators/gba	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/emulators/gba.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:21	104805/104805	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:21%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/emulators/gba/ab-cloaked	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/emulators/gba/ab-cloaked.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:22	99344/99344	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:22%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/school-cheats/wolfram-alpha	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/school-cheats/wolfram-alpha.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:22	99401/99401	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:22%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/school-cheats/step-by-step-clalculator	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/school-cheats/step-by-step-clalculator.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:22	99639/99639	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:22%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/random-websites/library-of-babel	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/random-websites/library-of-babel.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:23	505306/505306	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/atari/images/simple-header-blended.png	C:/My%20Web%20Sites/Learning%20Site/ssl.gstatic.com/atari/images/simple-header-blended.png	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
